Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,Month,Year,,,,,,
-42.0%,RO,J,VS1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-42.0%,RO,K,VS1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-43.0%,RO,L,VS1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-40.0%,RO,M,VS1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-51.0%,RO,D,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-50.0%,RO,E,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-49.0%,RO,F,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-47.0%,RO,G,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-44.0%,RO,H,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-43.0%,RO,I,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-42.0%,RO,J,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-44.0%,RO,K,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-43.0%,RO,L,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-39.0%,RO,M,VS2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-49.0%,RO,D,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-49.0%,RO,E,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-48.0%,RO,F,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-47.0%,RO,G,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-46.0%,RO,H,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-42.0%,RO,I,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-45.0%,RO,J,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-41.0%,RO,K,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-42.0%,RO,L,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-38.0%,RO,M,SI1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-47.0%,RO,D,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-49.0%,RO,E,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-47.0%,RO,F,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-45.0%,RO,G,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-43.0%,RO,H,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-42.0%,RO,I,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-45.0%,RO,J,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-39.0%,RO,K,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-44.0%,RO,L,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-40.0%,RO,M,SI2,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-33.0%,RO,D,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-38.0%,RO,E,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-37.0%,RO,F,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-37.0%,RO,G,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-37.0%,RO,H,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-33.0%,RO,I,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-35.0%,RO,J,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-36.0%,RO,K,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-35.0%,RO,L,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-32.0%,RO,M,I1,GD,GD,GD,None,1.50-1.69,June,2022,,,,,,
-57.0%,RO,D,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-57.0%,RO,E,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-55.0%,RO,F,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-53.0%,RO,G,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-50.0%,RO,H,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-48.0%,RO,I,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-48.0%,RO,J,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-47.0%,RO,K,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-48.0%,RO,L,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-44.0%,RO,M,IF,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-56.0%,RO,D,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-56.0%,RO,E,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-53.0%,RO,F,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-52.0%,RO,G,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-50.0%,RO,H,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-48.0%,RO,I,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,J,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,K,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-47.0%,RO,L,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,M,VVS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-55.0%,RO,D,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-56.0%,RO,E,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-53.0%,RO,F,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-52.0%,RO,G,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-49.0%,RO,H,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-48.0%,RO,I,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,J,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-44.0%,RO,K,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-47.0%,RO,L,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,M,VVS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-54.0%,RO,D,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-54.0%,RO,E,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-53.0%,RO,F,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-52.0%,RO,G,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-49.0%,RO,H,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-48.0%,RO,I,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,J,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-44.0%,RO,K,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-47.0%,RO,L,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,M,VS1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-56.0%,RO,D,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-54.0%,RO,E,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-54.0%,RO,F,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-50.0%,RO,G,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-49.0%,RO,H,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-47.0%,RO,I,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,J,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-44.0%,RO,K,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-47.0%,RO,L,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,M,VS2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-55.0%,RO,D,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-53.0%,RO,E,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-51.0%,RO,F,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-50.0%,RO,G,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-49.0%,RO,H,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-47.0%,RO,I,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,J,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-45.0%,RO,K,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,L,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,M,SI1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-52.0%,RO,D,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-53.0%,RO,E,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-50.0%,RO,F,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-49.0%,RO,G,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-49.0%,RO,H,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-46.0%,RO,I,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-48.0%,RO,J,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,K,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-45.0%,RO,L,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,M,SI2,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-43.0%,RO,D,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-40.0%,RO,E,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-40.0%,RO,F,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-40.0%,RO,G,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-40.0%,RO,H,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-37.0%,RO,I,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-38.0%,RO,J,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-38.0%,RO,K,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-38.0%,RO,L,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-35.0%,RO,M,I1,GD,GD,GD,Faint,1.50-1.69,June,2022,,,,,,
-61.0%,RO,D,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-61.0%,RO,E,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-62.0%,RO,F,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-59.0%,RO,G,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-56.0%,RO,H,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,I,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,J,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-50.0%,RO,K,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,L,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-50.0%,RO,M,IF,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-61.0%,RO,D,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-60.0%,RO,E,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-60.0%,RO,F,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,G,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-55.0%,RO,H,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,I,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-51.0%,RO,J,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-50.0%,RO,K,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-51.0%,RO,L,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-47.0%,RO,M,VVS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-60.0%,RO,D,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-59.0%,RO,E,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-60.0%,RO,F,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,G,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-54.0%,RO,H,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,I,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-50.0%,RO,J,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-50.0%,RO,K,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-51.0%,RO,L,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-47.0%,RO,M,VVS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-58.0%,RO,D,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,E,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-59.0%,RO,F,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,G,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,H,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,I,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-48.0%,RO,J,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-48.0%,RO,K,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-51.0%,RO,L,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-46.0%,RO,M,VS1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-60.0%,RO,D,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-58.0%,RO,E,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-60.0%,RO,F,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,G,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,H,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-52.0%,RO,I,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-49.0%,RO,J,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-50.0%,RO,K,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-51.0%,RO,L,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-46.0%,RO,M,VS2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-58.0%,RO,D,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-56.0%,RO,E,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,F,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-56.0%,RO,G,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-54.0%,RO,H,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,I,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-51.0%,RO,J,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-49.0%,RO,K,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-50.0%,RO,L,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-46.0%,RO,M,SI1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,D,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-56.0%,RO,E,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-55.0%,RO,F,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-57.0%,RO,G,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-55.0%,RO,H,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-52.0%,RO,I,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-53.0%,RO,J,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-48.0%,RO,K,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-51.0%,RO,L,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-47.0%,RO,M,SI2,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-45.0%,RO,D,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-47.0%,RO,E,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-47.0%,RO,F,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-46.0%,RO,G,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-43.0%,RO,H,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-42.0%,RO,I,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-40.0%,RO,J,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-44.0%,RO,K,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-43.0%,RO,L,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-39.0%,RO,M,I1,GD,GD,GD,Medium,1.50-1.69,June,2022,,,,,,
-68.0%,RO,D,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-68.0%,RO,E,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-69.0%,RO,F,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-66.0%,RO,G,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-63.0%,RO,H,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-60.0%,RO,I,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-58.0%,RO,J,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,K,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-58.0%,RO,L,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,M,IF,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-68.0%,RO,D,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-67.0%,RO,E,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-67.0%,RO,F,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-64.0%,RO,G,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,H,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-60.0%,RO,I,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-57.0%,RO,J,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,K,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-56.0%,RO,L,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-53.0%,RO,M,VVS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-67.0%,RO,D,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-66.0%,RO,E,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-67.0%,RO,F,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-64.0%,RO,G,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-61.0%,RO,H,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-60.0%,RO,I,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,J,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,K,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-56.0%,RO,L,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-52.0%,RO,M,VVS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-64.0%,RO,D,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,E,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-64.0%,RO,F,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,G,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-60.0%,RO,H,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-58.0%,RO,I,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,J,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-53.0%,RO,K,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-56.0%,RO,L,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-51.0%,RO,M,VS1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-65.0%,RO,D,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-63.0%,RO,E,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-65.0%,RO,F,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,G,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-58.0%,RO,H,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-57.0%,RO,I,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-56.0%,RO,J,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,K,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-56.0%,RO,L,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-51.0%,RO,M,VS2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-63.0%,RO,D,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,E,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,F,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-61.0%,RO,G,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-59.0%,RO,H,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-58.0%,RO,I,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-57.0%,RO,J,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-54.0%,RO,K,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-55.0%,RO,L,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-51.0%,RO,M,SI1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,D,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-61.0%,RO,E,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-60.0%,RO,F,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-62.0%,RO,G,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-60.0%,RO,H,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-58.0%,RO,I,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-58.0%,RO,J,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-53.0%,RO,K,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-56.0%,RO,L,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-52.0%,RO,M,SI2,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-50.0%,RO,D,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-49.0%,RO,E,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-52.0%,RO,F,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-51.0%,RO,G,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-48.0%,RO,H,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-47.0%,RO,I,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-45.0%,RO,J,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-49.0%,RO,K,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-49.0%,RO,L,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-45.0%,RO,M,I1,GD,GD,GD,Strong,1.50-1.69,June,2022,,,,,,
-73.0%,RO,D,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-72.5%,RO,E,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-74.0%,RO,F,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-70.5%,RO,G,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-68.0%,RO,H,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-64.5%,RO,I,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-63.0%,RO,J,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-59.5%,RO,K,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-63.0%,RO,L,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-60.0%,RO,M,IF,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-73.0%,RO,D,VVS1,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-71.5%,RO,E,VVS1,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-71.5%,RO,F,VVS1,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
-69.0%,RO,G,VVS1,GD,GD,GD,Very Strong,1.50-1.69,June,2022,,,,,,
