C_DISC,CERT,SHAPE,PCS,WEIGHT,COLOR,CLARITY,CUT,POL,SY,FLUO,FLUO_COLOR,FANCY_COLOR,FANCY_INTENSITY,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,FMTS,C1T,DEMAND_STATUS,ASSORT_DATE,,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE,, Inv_Date, Inv_Party, Inv_By , Inv_Term
-36.73,3,6,1,0.3,8,4,1,1,1,3,2,10,2,2,60.3,59,4.32,4.35,2.61,1.007,4,4,4,5,1,"Crystal, Cloud, Needle, Pinpoint",,33,13,40.8,43,4,1,45,75,2,,,,,27-05-2022,7,8,4,1,3,5,4,3,3,4,3,,,,,,27-05-2022,,,,,,,,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-36.73,3,6,1,0.3,8,4,1,1,1,3,2,10,2,2,60.5,60,4.28,4.31,2.6,1.007,4,4,4,5,1,Feather,,33.5,13,40.8,43,4.5,1,50,75,2,,,,,27-05-2022,7,8,4,1,3,5,4,3,3,4,3,,,,,,27-05-2022,,,,,,,,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-42.33,3,6,1,0.3,8,2,1,1,1,3,2,10,2,2,62.6,58,4.27,4.32,2.69,1.012,4,4,4,5,1,Internal Graining,,34.5,14.5,41.6,44,4,1,50,80,2,,,,,21-05-2022,18,8,2,1,3,5,4,3,3,4,3,,,,,,21-05-2022,,,,,,,,,07-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-41.84,3,6,1,0.3,8,2,1,1,1,3,2,10,2,2,61.8,57,4.28,4.3,2.65,1.005,4,4,4,5,1,"Pinpoint, Cloud",,34.5,14.5,41,43,4,1,50,75,2,,,,,21-05-2022,18,8,2,1,3,5,4,3,3,4,3,,,,,,21-05-2022,,,,,,,,,07-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-42.08,3,6,1,0.3,6,2,1,1,1,3,2,10,2,2,63.4,56,4.21,4.27,2.69,1.014,4,4,4,5,1,Feather,,36.5,16.5,41,43.5,3.5,1,50,80,2,,,,,21-05-2022,18,6,2,1,3,5,4,3,3,4,3,,,,,,21-05-2022,,,,,,,,,07-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-42.58,3,6,1,0.3,9,3,1,1,1,3,2,10,2,2,63.1,55,4.21,4.27,2.68,1.014,4,4,4,5,1,"Feather, Manufacturing Remnant, Pinpoint",,36.5,17,40.6,42.5,3.5,1,45,75,2,,,,,21-05-2022,16,9,3,1,3,5,4,3,3,4,3,,,,,,21-05-2022,,,,,,,,,04-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-42.08,3,6,1,0.3,9,3,1,1,1,3,2,10,2,2,62.3,59,4.23,4.29,2.65,1.014,4,4,4,5,1,"Needle, Pinpoint, Feather, Indented Natural",,35.5,14.5,41.2,43.5,4,1,50,75,2,,,,,21-05-2022,16,9,3,1,3,5,4,3,3,4,3,,,,,,21-05-2022,,,,,,,,,04-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-42.08,3,6,1,0.3,9,3,1,1,1,3,2,10,2,2,62.1,58,4.25,4.28,2.65,1.007,4,4,4,5,1,"Needle, Pinpoint, Indented Natural",,35.5,15,40.8,43,4,1,50,80,2,,,,,21-05-2022,16,9,3,1,3,5,4,3,3,4,3,,,,,,21-05-2022,,,,,,,,,04-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-33.78,3,3,1,0.3,9,2,,1,3,3,2,10,2,2,58.4,59,4.26,4.57,2.67,1.073,4,4,4,5,1,Feather,,0,0,0,0,0,,,,2,,,,,26-05-2022,19,9,2,1,3,5,4,3,3,4,3,,,,,,26-05-2022,,,,,,,,,13-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-36.47,3,5,1,0.3,6,4,,1,3,3,2,10,2,2,71.5,71,3.66,3.86,2.62,1.055,4,4,4,5,1,"Crystal, Feather",,0,0,0,0,0,,,,2,,,,,31-05-2022,3,6,5,1,3,5,4,3,3,4,3,,,,,,31-05-2022,,,,,,,,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-44.84,3,2,1,0.3,7,4,,1,3,3,,,,,67.9,64,3.26,4.19,2.22,1.285,,,,,,"Crystal, Feather",,,,,,,,,,2,,,,,04-11-2022,8,,,,,,,,,,,,,,,,31-05-2022,,,,,,,,,07-06-2022,Uni- Design Jewellery Pvt. Ltd. Uni,Uni- Design Jewellery Pvt. Ltd. Uni,30
-28.1,3,8,1,0.3,7,4,,3,3,3,,,,,60.6,61,3.86,5.27,2.34,1.365,,,,,,"Crystal, Pinpoint",,,,,,,,,,2,,,,,04-11-2022,8,,,,,,,,,,,,,,,,31-05-2022,,,,,,,,,07-06-2022,Uni- Design Jewellery Pvt. Ltd. Uni,Uni- Design Jewellery Pvt. Ltd. Uni,30
-27.85,3,8,1,0.3,6,4,,1,3,3,2,10,2,2,64.7,59,3.79,5,2.45,1.319,4,4,4,5,1,"Crystal, Needle, Pinpoint",,0,0,0,0,0,,,,2,,,,,31-05-2022,8,6,4,1,3,5,4,3,3,4,3,,,,,,31-05-2022,,,,,,,,,06-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-42,3,6,1,0.3,10,4,1,1,1,3,2,5,2,2,62,57,4.29,4.31,2.67,1.005,4,4,4,5,1,Feather,,35,15,40.8,43,4,2,45,75,2,,,,1,25-01-2022,132,10,5,1,3,5,4,3,3,4,3,,,,,1,25-01-2022,,,,,,,,,03-06-2022,Sun Rays,Sun Rays,30
-37,3,6,1,0.3,9,2,1,1,1,3,2,10,2,2,62.5,57,4.27,4.3,,1.007,4,4,4,5,1,"Pinpoint, Chip",,36.5,16,40.6,42.5,3.5,2,,,2,,,,,13-01-2022,152,9,2,1,3,5,4,3,3,4,3,,,,,,13-01-2022,,,,,,,,,10-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-29.02,2,6,1,0.3,8,4,1,1,3,3,2,10,2,2,60.6,59,4.3,4.32,,1.005,4,4,4,5,1,"Needle, Pinpoint",,32.5,13.5,40.8,43,4.5,2,,,2,,,,,13-01-2022,146,8,4,1,3,5,4,3,3,4,3,,,,,,13-01-2022,,,,,,,,,06-06-2022,Uni-Design Jewellery India Pvt. Ltd,Uni-Design Jewellery India Pvt. Ltd,30
-29.02,2,6,1,0.3,8,4,1,1,3,3,2,10,2,2,62,59,4.23,4.29,,1.014,4,4,4,5,1,"Feather, Needle, Pinpoint",,35.5,15,41,43,4,2,,,2,,,,,13-01-2022,146,8,4,1,3,5,4,3,3,4,3,,,,,,13-01-2022,,,,,,,,,06-06-2022,Uni-Design Jewellery India Pvt. Ltd,Uni-Design Jewellery India Pvt. Ltd,30
-29.02,2,6,1,0.3,8,4,1,1,3,3,2,10,2,2,62,60,4.23,4.28,,1.012,4,4,4,5,1,Cloud,,34.5,14,41.2,43.5,4.5,2,,,2,,,,,13-01-2022,146,8,4,1,3,5,4,3,3,4,3,,,,,,13-01-2022,,,,,,,,,06-06-2022,Uni-Design Jewellery India Pvt. Ltd,Uni-Design Jewellery India Pvt. Ltd,30
-30.04,2,6,1,0.3,9,4,1,1,3,3,2,10,2,2,59.1,61,4.34,4.38,,1.009,4,4,4,5,1,"Crystal, Feather",,33,12.5,41,43.5,3,2,,,2,,,,,13-01-2022,152,9,5,1,3,5,4,3,3,4,3,,,,,,13-01-2022,,,,,,,,,10-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-26.76,2,6,1,0.3,8,4,1,3,1,3,2,10,2,2,61.6,60,4.27,4.31,,1.009,4,4,4,5,1,Feather,,31.5,12.5,41.8,44.5,4.5,2,,,2,,,,,13-01-2022,146,8,5,1,3,5,4,3,3,4,3,,,,,,13-01-2022,,,,,,,,,07-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-29.02,2,6,1,0.3,9,4,1,1,3,3,2,10,2,2,62.6,58,4.24,4.29,,1.012,4,4,4,5,1,"Crystal, Cloud, Feather",,36.5,15.5,40.8,43,3.5,2,,,2,,,,,13-01-2022,152,9,5,1,3,5,4,3,3,4,3,,,,,,13-01-2022,,,,,,,,,10-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-32.78,2,6,1,0.3,9,4,1,3,1,3,2,10,2,2,60,59,4.32,4.35,,1.007,4,4,4,5,1,,,34,13.5,40.8,43,3.5,2,,,,,,,,31-12-2021,165,9,5,1,3,5,4,3,3,4,3,,,,,,31-12-2021,,,,,,,,,10-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-32.78,2,6,1,0.3,9,4,1,1,3,3,2,10,2,2,60.6,55,4.32,4.34,,1.005,4,4,4,5,1,,,33,14.5,40.8,43,3,2,,,,,,,,31-12-2021,165,9,5,1,3,5,4,3,3,4,3,,,,,,31-12-2021,,,,,,,,,10-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-36.54,2,6,1,0.3,9,4,1,1,3,3,2,10,2,2,62.5,56,4.26,4.29,,1.007,4,4,4,5,1,,,36.5,16.5,40.6,42.5,3.5,2,,,,,,,,31-12-2021,165,9,4,1,3,5,4,3,3,4,3,,,,,,31-12-2021,,,,,,,,,10-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-37.73,3,6,1,0.3,7,2,1,1,1,3,2,10,2,2,60.4,61,4.33,4.36,2.62,1.007,4,4,4,5,1,Feather,,33,12.5,41.6,44,3.5,1,45,75,2,,,,1,21-05-2022,16,7,2,1,3,5,4,3,3,4,3,,,,,,21-05-2022,,,,,,,,,04-06-2022,Uni-Design Jewellery India Pvt. Ltd,Uni-Design Jewellery India Pvt. Ltd,30
-36.24,3,6,1,0.3,7,6,1,1,1,3,2,10,2,2,60.3,58,4.33,4.36,2.62,1.007,4,4,4,5,1,"Crystal, Feather",,34,14,40.6,43,3.5,1,50,75,2,,,,1,25-05-2022,9,7,6,1,3,5,4,3,3,4,3,,,,,,25-05-2022,,,,,,,,,02-06-2022,Uni-Design Jewellery India Pvt. Ltd,Uni-Design Jewellery India Pvt. Ltd,30
-38.22,3,6,1,0.3,6,2,1,1,1,3,2,10,2,2,62.3,56,4.28,4.31,2.68,1.007,4,4,4,5,1,"Pinpoint, Cavity, Feather",,36.5,16.5,40.6,43,3,1,50,80,2,,,,1,25-05-2022,9,6,2,1,3,5,4,3,3,4,3,,,,,,25-05-2022,,,,,,,,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-34.76,3,6,1,0.3,8,2,1,1,1,3,2,10,2,2,62.7,56,4.29,4.32,2.7,1.007,4,4,4,5,1,"Pinpoint, Manufacturing Remnant, Surface Graining",,36,16,41.2,43.5,3.5,1,50,80,2,1,1,,1,28-05-2022,11,8,2,1,3,5,4,3,3,4,3,,,,,2,28-05-2022,,,,,,,,,07-06-2022,Uni-Design Jewellery India Pvt. Ltd,Uni-Design Jewellery India Pvt. Ltd,30
-35.75,3,6,1,0.3,7,4,1,1,1,3,2,10,2,2,62.9,56,4.26,4.29,2.69,1.007,4,4,4,5,1,"Crystal, Cloud, Manufacturing Remnant",,36.5,16,41,43,3.5,1,50,80,2,,,,1,31-05-2022,6,7,5,1,3,5,4,3,3,4,3,,,,,,31-05-2022,,,,,,,,,04-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-36.74,3,6,1,0.3,7,2,1,1,1,3,2,10,2,2,62.7,57,4.26,4.29,2.68,1.007,4,4,4,5,1,"Feather, Manufacturing Remnant",,35,15,41.4,44,4,1,50,80,2,,,,1,31-05-2022,3,7,2,1,3,5,4,3,3,4,3,,,,,,31-05-2022,,,,,,,,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-35.98,3,6,1,0.3,7,3,1,1,1,3,2,10,2,2,57.1,62,4.44,4.48,2.55,1.009,4,4,4,5,1,"Cavity, Chip",,33,12,40.8,43,2,1,45,80,2,,,,1,31-05-2022,8,7,3,1,3,5,4,3,3,4,3,,,,,,31-05-2022,,,,,,,,,07-06-2022,Uni-Design Jewellery India Pvt. Ltd,Uni-Design Jewellery India Pvt. Ltd,30
-34.04,3,6,1,0.3,6,4,1,1,1,3,2,10,2,2,58.3,62,4.41,4.42,2.57,1.002,4,4,4,5,1,Etch Channel,,33,12,41.4,44,2.5,1,45,80,2,,,,1,31-05-2022,3,6,4,1,3,5,4,3,3,4,3,,,,,,31-05-2022,,,,,,,,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-34.04,3,6,1,0.3,6,4,1,1,1,3,2,10,2,2,57.8,62,4.42,4.46,2.57,1.009,4,4,4,5,1,Feather,,33,12.5,41.2,43,2.5,1,50,80,2,,,,1,31-05-2022,3,6,5,1,3,5,4,3,3,4,3,,,,,,31-05-2022,,,,,,,,,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-38.22,3,6,1,0.3,9,3,1,1,1,3,,,,,62.4,58,4.29,4.31,2.68,1.005,,,,,,"Pinpoint, Cloud, Feather",,35.5,15,41.2,43.5,4,1,55,80,1,,,,1,03-06-2022,3,,,,,,,,,,,,,,,,03-06-2022,,,,,,,,,04-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-35.01,3,6,1,0.3,7,4,1,1,1,3,,,,,61,61,4.29,4.32,2.63,1.007,4,4,4,5,1,"Crystal, Cloud, Indented Natural, Needle",,33,13,41.4,44,4,1,50,75,,,,,,08-02-2022,2,,,1,,,,,,,,,,,,,06-06-2022,,,,,,,,,07-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-49,3,6,1,0.3,6,4,1,1,3,1,2,11,1,1,63,56,4.23,4.27,2.68,1.009,1,4,4,5,2,Feather,-,35.5,16,40.8,43,4,1,50,80,2,2,2,1,1,13-05-2022,33,6,5,1,3,5,4,3,3,4,1,2,1,1,1,2,13-05-2022,,ANGOLA,KOIN,CALENDULA,KOIN,ANGOLA,CALENDULA,,14-06-2022,Rare Carat Inc,Rare Carat Inc,0
-68,3,6,1,0.3,9,7,3,1,3,1,2,11,1,1,62.6,57,4.21,4.23,2.64,1.005,4,1,4,5,3,Cloud,-,35.5,15.5,40.2,42,5.5,1,50,75,2,1,1,1,1,24-04-2022,52,9,7,1,3,5,4,3,3,4,1,2,1,2,1,2,24-04-2022,,,ALROSA,NURBA,ALROSA,RUSSIAN FEDERATION,NURBA,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-58,3,6,1,0.3,8,6,1,1,1,1,2,7,2,2,62.8,55,4.26,4.29,2.69,1.007,4,1,4,5,8,Cloud,,36.5,16.5,40.6,42.5,3.5,2,50,80,2,1,1,1,1,27-04-2022,49,8,6,1,1,5,4,3,3,4,1,2,1,2,1,2,27-04-2022,,CANADA,ARCTIC CANADIAN,EKATI,ARCTIC,CANADA,EKATI,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-48,3,6,1,0.3,8,6,1,1,1,3,2,11,2,2,62.4,57,4.24,4.28,2.66,1.009,3,4,1,1,3,"Crystal, Cloud, Feather, Cavity",,36,15.5,40.6,42.5,4,2,50,80,2,1,1,1,1,21-12-2021,176,8,6,2,3,5,4,1,3,1,3,,,2,,2,21-12-2021,,,,,,AGGREGATE,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-47,3,6,1,0.3,9,4,1,1,1,3,2,5,2,2,61.5,59,4.28,4.32,2.65,1.009,4,1,4,5,1,"Cloud, Crystal",,34,13.5,41.2,43.5,4.5,2,50,80,2,1,1,1,1,27-04-2022,49,9,5,1,3,5,4,3,3,4,1,2,1,2,1,2,27-04-2022,,BOTSWANA,DEBSWANA,UNKNOWN,ODC,BOTSWANA,ODC,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-49,3,6,1,0.3,7,4,3,1,3,3,2,11,2,2,64.1,57,4.2,4.23,2.7,1.007,4,4,4,1,2,"Crystal, Cloud, Feather, Cavity",,36,15.5,41.4,43.5,5,2,50,75,2,2,2,1,1,23-04-2022,53,7,5,2,2,5,1,3,3,4,3,2,1,1,1,1,23-04-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-42,3,6,1,0.3,4,6,1,1,1,3,2,10,2,2,62.3,58,4.27,4.31,2.67,1.009,4,4,4,1,1,"Crystal, Feather",,35,14.5,41.4,44,4,2,55,80,2,,,1,1,15-10-2021,243,4,6,1,3,5,4,3,3,4,3,,,1,,,15-10-2021,,,,,,NAMIBIA,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-51,3,6,1,0.3,4,3,3,1,3,3,2,11,1,1,60.5,56,4.29,4.32,2.6,1.007,3,4,4,5,1,"Feather, Cloud, Pinpoint",,34.5,15,39.8,41.5,4,1,50,75,2,,,1,1,02-02-2022,133,4,3,1,3,5,4,3,3,4,3,2,1,1,1,2,02-02-2022,,,,,,SOUTH AFRICA,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-53,3,6,1,0.3,9,7,1,1,1,1,2,10,2,2,61.9,59,4.27,4.3,2.65,1.007,4,4,1,5,1,"Crystal, Feather, Knot",,35.5,14.5,41,43,4,2,50,75,2,,,1,1,26-11-2021,201,9,7,6,3,5,4,3,3,4,3,2,1,1,1,,26-11-2021,,,,,,ANGOLA,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-57,3,6,1,0.3,10,6,2,3,3,3,2,10,2,2,64,59,4.18,4.21,2.69,1.007,4,4,3,5,1,Crystal,,37.5,15.5,41,43,5,2,50,80,2,,,1,1,03-01-2022,163,10,6,1,3,5,4,3,3,4,3,2,1,2,1,,03-01-2022,,,,,,RUSSIAN FEDERATION,NURBA,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-44,3,6,1,0.3,9,6,1,1,1,3,2,11,1,1,62.7,57,4.26,4.3,2.68,1.009,4,4,4,5,1,"Cloud, Cavity",,35.5,15.5,41,43,4,1,50,80,2,,,1,1,27-12-2021,170,9,6,2,3,5,4,3,3,4,3,2,1,1,1,1,27-12-2021,,,,,,SOUTH AFRICA,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-51,3,6,1,0.3,8,6,3,1,1,3,2,11,1,1,60,58,4.34,4.35,2.61,1.002,1,4,1,1,1,"Feather, Crystal, Cloud",-,33,13.5,40,41.5,4.5,1,50,75,2,1,1,1,1,23-04-2022,53,8,6,1,3,5,4,3,3,4,1,2,1,1,1,2,23-04-2022,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-46,3,6,1,0.3,7,6,3,1,1,3,2,11,1,1,64.3,57,4.16,4.2,2.69,1.01,4,4,3,5,1,Crystal,,37,16,40.6,42.5,5.5,1,50,75,2,,,1,1,21-03-2022,86,7,6,1,3,5,4,3,3,4,3,2,1,2,1,2,21-03-2022,,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-41,3,6,1,0.3,6,7,1,1,1,3,2,10,2,2,62.2,57,4.26,4.27,2.66,1.002,4,4,4,5,1,Crystal,,35.5,15,40.8,43,4,2,50,80,2,,,,1,01-11-2021,226,6,7,1,3,5,4,3,3,4,3,,,,,,01-11-2021,,,,,,,,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-46,3,6,1,0.3,5,3,1,1,1,3,2,10,2,2,62.9,58,4.24,4.28,2.68,1.009,4,4,2,5,1,"Cloud, Pinpoint, Indented Natural",,35,14.5,41.6,44.5,4,2,50,80,2,,,1,1,29-11-2021,198,5,3,1,3,5,4,3,3,4,3,,,1,,,29-11-2021,,,,,,ANGOLA,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-52,3,6,1,0.3,9,3,3,1,1,3,2,11,1,1,63.1,57,4.24,4.28,2.69,1.009,1,4,4,5,2,"Feather, Cavity, Surface Graining",-,35,15,41.6,44,4,1,50,80,2,2,2,1,1,23-04-2022,53,9,3,1,3,5,1,3,3,5,1,2,1,2,1,2,23-04-2022,,,RIO-TINTO,DIAVIK,RIO-TINTO,CANADA,DIAVIK,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-44,3,6,1,0.3,7,6,1,1,3,3,2,10,2,2,61.3,57,4.3,4.33,2.65,1.007,4,4,4,1,1,"Feather, Crystal",,33,14,41.4,44,3.5,2,50,75,2,,,1,1,23-09-2021,265,7,6,1,3,5,4,3,3,4,3,,,,,,23-09-2021,,,,,,RUSSIAN FEDERATION,ALROSA,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-52,3,6,1,0.3,6,3,1,1,3,1,2,10,2,2,62.2,57,4.23,4.29,2.65,1.014,4,4,4,5,1,"Pinpoint, Indented Natural, Cloud",,36,15.5,40.6,42.5,4,2,50,80,2,,,1,1,14-10-2021,244,6,3,1,3,5,4,3,3,4,3,,,1,,,14-10-2021,,,,,,ZIMBABWE,MUROWA,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-42,3,6,1,0.3,4,3,1,1,1,3,2,10,2,2,62.5,56,4.26,4.29,2.67,1.007,4,4,4,5,1,"Feather, Pinpoint",,35.5,15.5,40.8,43,4,2,50,80,2,,,1,1,27-10-2021,231,4,3,1,3,5,4,3,3,4,3,,,1,,,27-10-2021,,,,,,UNKNOWN,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-48,3,6,1,0.3,8,6,1,1,3,3,2,11,1,1,63.2,56,4.25,4.28,2.69,1.007,1,4,4,5,2,Feather,-,36.5,16.5,41,43.5,3.5,1,50,80,2,1,1,1,1,20-04-2022,56,8,6,1,1,5,4,3,3,4,1,2,1,1,1,2,20-04-2022,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-44,3,6,1,0.3,4,7,1,1,1,1,2,10,2,2,61.3,57,4.31,4.33,2.65,1.005,4,4,1,5,1,Feather,,33.5,14.5,41,43,4,2,50,80,2,,,1,1,16-11-2021,211,4,7,6,3,5,4,3,3,4,3,,,2,,,16-11-2021,,,,,,AGGREGATE,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-45,3,6,1,0.3,4,3,1,1,1,1,2,10,2,2,62.2,58,4.28,4.3,2.67,1.005,4,4,4,5,1,Feather,,35.5,15,41,43.5,4,2,50,80,2,,,1,1,29-10-2021,229,4,3,1,3,5,4,3,3,4,3,,,1,,,29-10-2021,,,,,,UNKNOWN,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-42,3,6,1,0.3,4,4,1,1,3,3,2,10,2,2,62.8,56,4.24,4.26,2.67,1.005,4,4,4,2,1,Cloud,,35.5,15.5,40.8,43,4,2,50,80,2,,,1,1,27-10-2021,231,4,5,1,3,5,4,3,3,4,3,,,2,,,27-10-2021,,,,,,AGGREGATE,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-43,3,6,1,0.3,4,4,1,1,1,1,2,10,2,2,63.1,56,4.24,4.28,2.69,1.009,4,4,4,2,1,"Needle, Feather, Pinpoint",,35.5,16,40.8,43,4,2,50,80,2,,,1,1,19-09-2021,269,4,4,1,3,5,4,3,3,4,3,,,1,,,19-09-2021,,,,,,NAMIBIA,UNKNOWN,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-43,3,6,1,0.3,4,4,1,1,1,1,2,10,2,2,63,55,4.23,4.26,2.67,1.007,4,4,4,5,1,"Crystal, Pinpoint",,35.5,16,40.6,43,4,2,45,80,2,,,,1,01-11-2021,226,4,4,1,3,5,4,3,3,4,3,,,,,,01-11-2021,,,,,,,,,14-06-2022,Jewel Paradise Company Limited,Jewel Paradise Company Limited,0
-34,1,6,1,0.3,5,6,1,1,1,3,2,10,2,2,62.9,57,4.26,4.3,2.69,1.009,4,4,4,5,1,,,36,16,41.2,43.5,3.5,2,50,80,2,2,2,2,,15-04-2022,61,5,6,1,3,5,4,3,3,4,3,2,1,2,1,1,15-04-2022,,CANADA,ARCTIC CANADIAN,EKATI,ARCTIC,CANADA,EKATI,,15-06-2022,Titan Company Limited,Titan Company Limited,30
-34,1,6,1,0.3,5,6,1,1,1,1,2,10,2,2,60,59,4.35,4.37,2.61,1.005,4,4,4,5,1,NN,NN,34,14,40.6,42.5,3.5,2,,,,2,2,2,,09-04-2022,67,5,6,1,3,5,4,3,3,4,3,,,,,1,09-04-2022,,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,,15-06-2022,Titan Company Limited,Titan Company Limited,30
-33.07,3,6,1,0.3,6,3,1,1,1,3,,,,,62.7,58,4.23,4.26,2.66,1.007,,,,,,"Needle, Pinpoint",,35.5,15,41.2,43.5,4,1,50,80,2,,,,1,06-04-2022,9,,,,,,,,,,,,,,,,06-06-2022,,,,,,,,,15-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-33.57,3,6,1,0.3,6,3,1,1,1,3,,,,,63,58,4.24,4.27,2.68,1.007,,,,,,"Cloud, Pinpoint",,35,14.5,41.6,44,4,1,50,80,2,,,,1,21-02-2022,9,,,,,,,,,,,,,,,,06-06-2022,,,,,,,,,15-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
