SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,VS2,I,-42,0,65,20%,0, ,-40,215,-41,180,-37,-46,-38,-38,-39,-6%,-1,-32,-33,-26,-33,-35,-32,-30,15%,11%
,SI1,I,-42,0,61, ,2, , , ,-41,219,-35,-49,-36,-37,-37,-1%,-2,-30,-31,-29,-26,-35,-30,-27,14%,11%
,SI2,I,-39,-1,50, ,3, , , ,-39,39,-36,-43,-37,-38,-39,7%,-1,-39,-25,-30,0,-36,-29,-31,5%,9%
,IF,J,-42,0,43, ,0, , , ,-40,56,-38,-45,-40,-42,-43,-11%,-1,-35,-39,-38,-36,-35,-34,-38,14%,
,VVS1,J,-42,1,49,36%,0, ,-40,159,-39,76,-36,-43,-38,-38,-38,-7%,1,-33,0,-36,0,-34,-33,-31,13%,3%
,VVS2,J,-42,0,54,12%,3, ,-39,165,-41,91,-36,-46,-37,-37,-38,-4%,0,-31,-33,-33,0,-34,-32,-32,12%,7%
,VS1,J,-40,0,49,33%,0, ,-36,188,-38,84,-35,-43,-37,-38,-39,-28%,-2,-31,-30,-30,-34,-34,-30,-29,13%,2%
,VS2,J,-40,0,57, ,0, ,-38,212, , ,-35,-43,-38,-39,-39,-20%,-1,-31,-26,-28,-37,-34,-31,0,7%,6%
,SI1,J,-39,0,63, ,1, , , ,-25,132,-34,-45,-36,-37,-38,-3%,-1,-27,-24,-26,0,-36,-29,-27,7%,10%
,SI2,J,-39,2,71, ,1, , , , , ,-33,-44,-35,-35,-36,4%,-1,0,0,-30,0,0,0,0,9%,10%
,IF,K,-42,0,42, ,0, , , ,-40,44,-38,-46,-41,-42,-43,4%,0,-37,-41,-42,-38,-35,0,-38,10%,
,VVS1,K,-42,0,35,17%,0, ,-42,100,-40,67,-36,-43,-39,-40,-40,4%,-1,-30,0,-37,-30,-36,0,-35,12%,5%
,VVS2,K,-41,-1,38, ,0, , , ,-41,95,-35,-45,-37,-38,-39,21%,-1,-26,0,-34,0,-36,0,-33,11%,6%
,VS1,K,-39,0,34, ,1, , , ,-38,54,-34,-44,-36,-37,-38,8%,-1,-27,0,-30,0,-36,0,-32,10%,1%
,VS2,K,-39,1,43,33%,2, ,-35,212,-37,112,-34,-44,-37,-38,-40,-3%,-1,-32,-28,-29,-32,-38,0,-30,9%,5%
,SI1,K,-40,1,63, ,1, , , , , ,-34,-43,-38,-38,-39,11%,-2,-24,0,-29,0,-35,-24,-27,13%,15%
,SI2,K,-39,-2,76, ,0, , , ,-41,321,-19,-41,-31,-33,-34,-3%,0,0,0,-30,0,0,0,-29,21%,18%
,IF,L,-41,0,44, ,0, , , , , ,-23,-41,-35,-37,-38,23%,-1,0,0,0,-28,-37,0,0,9%,
,VVS1,L,-42,0,49, ,0, ,-42,137, , ,-32,-41,-34,-36,-38,2%,0,0,0,0,0,-41,0,-33,11%,7%
,VVS2,L,-41,1,51, ,0, , , ,-38,52,-30,-41,-34,-35,-37,20%,0,0,0,-32,0,-35,0,-34,9%,3%
,VS1,L,-43,-1,74, ,1, , , ,-44,194,-27,-38,-32,-33,-34,10%,2,-30,0,-30,0,-34,0,0,20%,13%
,VS2,L,-43,0,76, ,0, , , ,-40,110,-30,-43,-32,-34,-36,20%,1,-27,0,0,0,-33,0,0,20%,5%
,SI1,L,-39,0,75,50%,0, ,-38,215,-38,111,-18,-48,-30,-32,-32,-31%,0,0,0,0,0,-38,0,-29,15%,9%
,SI2,L,-40,-1,76, ,1, , , ,-40,184,-19,-40,-32,-32,-33,-16%,0,-34,0,0,0,0,0,0,18%,21%
,IF,M,-41,0,50, , , , , , , ,-26,-38,-31,-38,-38,-68%,-6,0,0,0,0,0,0,0,12%,
,VVS1,M,-42,-2,56, , , , , ,-44,118,-21,-39,-34,-36,-38,-1%,-1,0,0,0,-24,0,0,0,16%,11%
,VVS2,M,-42,0,60, , , , , ,-38,38,-21,-44,-32,-33,-34,14%,-8,-25,0,0,0,-34,0,0,16%,4%
,VS1,M,-39,0,59, , , , , ,-35,19,-19,-40,-30,-33,0,15%,-1,0,0,0,0,0,0,0,7%,3%
,VS2,M,-38,1,56, , , , , , , ,-19,-45,-31,-33,0,-4%,2,0,0,0,0,0,0,0,6%,5%
,SI1,M,-38,1,53, , , , , , , ,-20,-50,-32,-33,-34,18%,2,0,0,0,0,0,0,0,6%,9%
,SI2,M,-39,2,65, , , , , , , ,-19,-50,-32,-32,-32,25%,-1,0,0,0,0,0,0,-26,5%,20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30-0.34 XXX MED,IF,D,#REF!, ,66, ,0,, , , , ,-31,-40,-37,,, ,-37,-37,-39,,,,-42.125,0,,
,VVS1,D,#REF!, ,47,0%,2,, , ,-48,7,-20,-53,-43.5,,, ,-44,-44,-42,,,,-39.75,0,,
,VVS2,D,#REF!, ,47,0%,15,,X - MED, ,-50,26,-23,-57,-43,,, ,-43,-43,-42,,,,-45.33333333,0,,
,VS1,D,#REF!, ,52,0%,10,,D, ,-47,122,-21,-52,-41,,, ,-41,-41,-39,,,,-45.33333333,-46,,
,VS2,D,#REF!, ,70,0%,22,, , ,-53,98,-10,-55,-38,,, ,-38,-42,-41,,,,-45.83333333,-44,,
,SI1,D,#REF!, ,53,0%,32,, , ,-51,35,0,-49,-38,,, ,-38,-42,-40,,,,-43.66666667,-45,,
,SI2,D,#REF!, ,47,0%,39,, , ,-51,201,-3,-43,-3,,, ,-3,-41,-44,,,,0,-41,,
,IF,E,#REF!, ,21, ,0,, , ,-46, ,-13,-51,-44,,, ,-44,0,-40,,,,0,0,,
,VVS1,E,#REF!, ,24,0%,0,, , ,-47,18,-34,-48,-42,,, ,-42,-40,-39,,,,-43,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30,-49,82,-30,-47,-43,,, ,-43,-43,-40,,,,-42.28571429,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-41,-48,-43,,, ,-43,-42,-39,,,,-40,-44,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-41,-50,-43,,, ,-43,-41,-38,,,,-45.6,-44,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-42,-52,-44,,, ,-44,-41,-40,,,,-46,0,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-38,-46,-41,,, ,-41,-44,-41,,,,0,-41,,
,IF,F,#REF!, ,27, ,0,,X - MED, , , ,-18,-49,-43,,, ,-43,0,-39,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,,D, ,-46, ,-34,-48,-42,,, ,-42,-41,-38,,,,-25,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26,-45, ,-31,-46,-41,,, ,-41,-40,-39,,,,-38,0,,
,VS1,F,#REF!, ,63, ,6,,-55, , , ,-41,-45,-42,,, ,-42,-41,-38,,,,-41.5,-43,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-37,-46,-40,,, ,-40,-40,-36,,,,-41.2,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-38,-48,-40,,, ,-40,-40,-36,,,,-48,-40,,
,SI2,F,#REF!, ,55, ,14,,-55, , , ,-39,-46,-41,,, ,-41,-43,-39,,,,0,-40,,
,IF,G,#REF!, ,43,33%,0,, ,68,-51,116,-32,-47,-43.5,,, ,-44,0,-40,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167,-48,155,-42,-48,-44,,, ,-44,0,-39,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153,-48,206,-37,-46,-41,,, ,-41,-40,-39,,,,-42,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38,-44,63,-38,-47,-41,,, ,-41,-40,-36,,,,0,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-37,-46,-39,,, ,-39,-40,-36,,,,-39,0,,
,SI1,G,#REF!, ,59,0%,18,,X - STG, , ,86,-39,-45,-40,,, ,-40,-41,-35,,,,-38,-40,,
,SI2,G,#REF!, ,64,0%,15,,D, , ,54,-37,-46,-39,,, ,-39,-43,-35,,,,0,-44,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-35,-45,-42,,, ,-42,-44,-40,,,,-44,-43,,
,VVS1,H,#REF!, ,62,0%,1,, , ,-48,102,-40,-46,-42,,, ,-42,-42,-38,,,,-41,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-33,-43,-39,,, ,-39,-36,-38,,,,-38.5,-37,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-31,-42,-37,,, ,-37,-33,-36,,,,-33.5,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-32,-45,-36,,, ,-36,-31,-32,,,,-36,0,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-36,-42,-39.5,,, ,-40,-38,-33,,,,0,-40,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-35,-45,-37,,, ,-37,-36,-35,,,,0,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-31,-49,-37,,, ,-37,0,-31,,,,0,-39,,
,VVS1,I,#REF!, ,41,33%,0,, ,167,-49,70,-38,-45,-41,,, ,-41,-38,-33,,,,-41,-44,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-34,-47,-39,,, ,-39,-34,-30,,,,-37.4,-35,,
,VS1,I,#REF!, ,41,0%,6,,X - STG, , ,122,-31,-43,-36,,, ,-36,-31,-30,,,,-33,-39,,
,VS2,I,#REF!, ,65,17%,3,,D,203, ,58,-30,-47,-35.5,,, ,-36,-36,-32,,,,-36.5,0,,
,SI1,I,#REF!, ,61, ,5,, , ,-45, ,-36,-52,-38,,, ,-38,-36,-33,,,,-48,-37,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-36,-52,-38,,, ,-38,-38,-35,,,,0,-36,,
,IF,J,#REF!, ,43, ,0,, , , , ,-27,-42,-38,,, ,-38,0,-33,,,,0,-38,,
,VVS1,J,#REF!, ,49,9%,0,, ,65,-48,51,-29,-46,-37,,, ,-37,-43,-32,,,,-41.33333333,-36,,
,VVS2,J,#REF!, ,54,0%,3,, , ,-45,80,-27,-44,-38,,, ,-38,-31,-33,,,,0,-34,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-30,-46,-36,,, ,-36,-29,-33,,,,-35,0,,
,VS2,J,#REF!, ,57, ,1,, , ,-42, ,-21,-42,-30,,, ,-30,-37,-31,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , ,-42,68,-23,-53,-33,,, ,-33,-29,-37,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-23,-43,-34,,, ,-34,-41,-36,,,,0,-35,,
