SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,VVS2,G,#REF!, ,64,25%,2,,-53,153,-48,206,-39,-46,-43,,, ,,-40,-42,,,,0,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-36,-47,-40,,, ,,-41,-40,,,,-42,-43,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-36,-44,-40,,, ,,-39,-39,,,,0,0,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-37,-48,-41,,, ,,-44,-39,,,,0,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-30,-44,-40,,, ,,-43,-40,,,,0,-41,,
,IF,H,#REF!, ,53,0%,0,,VG MED, , ,66,-41,-45,-43,,, ,,0,-45,,,,0,-43,,
,VVS1,H,#REF!, ,62,0%,1,,D, , ,102,-32,-47,-42,,, ,,-41,-41,,,,0,-41,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-34,-44,-40,,, ,,-34,-41,,,,-41,-39,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-33,-45,-38,,, ,,-35,-39,,,,-39,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-34,-44,-37.5,,, ,,-39,-38,,,,0,0,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-31,-46,-37,,, ,,-42,-38,,,,0,-36,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-25,-46,-35,,, ,,-44,-40,,,,-35,0,,
,IF,I,#REF!, ,28, ,0,,-59, , , ,-34,-42,-40,,, ,,-37,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-27,-47,-42,,, ,,-42,-38,,,,-43,-40,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-34,-45,-38,,, ,,-33,-35,,,,-40,-39,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-25,-46,-37,,, ,,-38,-35,,,,-39.66666667,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-31,-47,-39,,, ,,0,-38,,,,-36.5,0,,
,SI1,I,#REF!, ,61, ,5,,VG MED, , , ,-29,-44,-38,,, ,,-35,-38,,,,0,-38,,
,SI2,I,#REF!, ,50,0%,7,,D, , ,30,-29,-50,-38,,, ,,-40,-42,,,,0,-38,,
,IF,J,#REF!, ,43, ,0,, , , , ,-34,-41,-39,,, ,,0,0,,,,-39,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-27,-44,-37,,, ,,0,-38,,,,-35,-39,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-28,-46,-36,,, ,,0,-39,,,,-34,0,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-24,-44,-34,,, ,,-31,-35,,,,0,0,,
,VS2,J,#REF!, ,57, ,1,, , , , ,-30,-42,-33,,, ,,0,-32,,,,-32.5,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-26,-40,-28.5,,, ,,-42,-38,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-28,-41,-34,,, ,,-31,-34,,,,0,-35,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,-39,-46,-43,,, ,,0,0,,,,0,-39,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-31,-46,-41,,, ,,-42,0,,,,-45,-37,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-34,-45,-37,,, ,,-39,-41,,,,-38.33333333,-38,,
,VS1,K,#REF!, ,34,0%,1,,VG STG, , ,95,-28,-42,-33,,, ,,-30,0,,,,-34,0,,
,VS2,K,#REF!, ,43,0%,2,,D, ,-44,12,-30,-49,-35,,, ,,-31,-34,,,,-40.66666667,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-29,-40,-34,,, ,,0,0,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-27,-35,-30,,, ,,-41,0,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-31,-46,-39,,, ,,0,0,,,,-44,0,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,-34,-45,-36.5,,, ,,-41,0,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-27,-45,-37,,, ,,0,0,,,,-37,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-36,-44,-39.5,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-27,-46,-31,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-24,-33,-30,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,,VG STG, , ,102,-37,-55,-40,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,,D, , ,123,-35,-44,-39,,, ,,-44,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-35,-48,-40,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,-32,-48,-42,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-33,-41,-37,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-35,-40,-39,,, ,,0,0,,,,0,0,,
0.30-0.34 X NON,IF,D,#REF!, ,66, ,0,, , , , ,-36,-48,-39,,, ,,-29,-34,,,,0,-36,,
,VVS1,D,#REF!, ,47,0%,2,, , ,-45,7,-41,-45,-42,,, ,,-30,-35,,,,-42,-43,,
,VVS2,D,#REF!, ,47,0%,15,, , ,-45,26,-42,-46,-43,,, ,,-31,-36,,,,-43,-44,,
,VS1,D,#REF!, ,52,0%,10,, , ,-42,122,-41,-45,-42,,, ,,-33,-33,,,,-42,-44,,
,VS2,D,#REF!, ,70,0%,22,, , ,-44,98,-41,-60,-41,,, ,,-34,-34,,,,0,-41,,
,SI1,D,#REF!, ,53,0%,32,, , ,-45,35,-41,-44,-42,,, ,,-34,-33,,,,0,0,,
,SI2,D,#REF!, ,47,0%,39,,GD - NON, ,-43,201,-42,-52,-43,,, ,,-41,-38,,,,0,0,,
,IF,E,#REF!, ,21, ,0,,D, , , ,-37,-46,-39,,, ,,-30,-33,,,,-38,-43,,
,VVS1,E,#REF!, ,24,0%,0,, , ,-43,18,-38,-43,-39.5,,, ,,-34,-33,,,,-41.5,-38,,
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,-41,-46,-41,,, ,,-33,-35,,,,-41,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9,-46,169,-41,-45,-42,,, ,,-34,-34,,,,-41.5,-41,,
,VS2,E,#REF!, ,63,17%,19,, ,9,-46,163,-41,-44,-42,,, ,,-35,-33,,,,-43,0,,
,SI1,E,#REF!, ,58,0%,38,, , ,-47,82,-46,-52,-47,,, ,,-37,-33,,,,0,-47,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-44,-65,-45,,, ,,-39,-35,,,,0,0,,
,IF,F,#REF!, ,27, ,0,, , , , ,-37,-43,-39,,, ,,-26,-33,,,,-37,-37,,
,VVS1,F,#REF!, ,30, ,1,, , ,-43, ,-38,-44,-39,,, ,,-30,-32,,,,-39,-38,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-39,-44,-40,,, ,,-33,-34,,,,-41,0,,
,VS1,F,#REF!, ,63, ,6,, , ,-45, ,-39,-42,-40,,, ,,-34,-33,,,,-39.5,0,,
,VS2,F,#REF!, ,62,0%,21,,GD -NON, ,-47,204,-40,-45,-41,,, ,,-33,-32,,,,-41,0,,
,SI1,F,#REF!, ,55,0%,34,,D, ,-47,67,-43,-48,-44,,, ,,-36,-32,,,,-45,-46,,
,SI2,F,#REF!, ,55, ,14,, , ,-49, ,-43,-50,-45,,, ,,-38,-34,,,,0,-44,,
,IF,G,#REF!, ,43,33%,0,, ,68,-46,116,-37,-43,-38,,, ,,-35,-34,,,,-38.5,-43,,
,VVS1,G,#REF!, ,38,29%,0,, ,167,-41,155,-39,-45,-40,,, ,,-33,-34,,,,-40,-40,,
,VVS2,G,#REF!, ,64,25%,2,, ,153,-43,206,-38,-44,-38,,, ,,-34,-34,,,,-40,-38,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-36,-41,-37,,, ,,-31,-31,,,,-36.83333333,-37,,
,VS2,G,#REF!, ,62,5%,9,, ,116,-43,67,-37,-41,-37,,, ,,-31,-30,,,,-38.33333333,0,,
,SI1,G,#REF!, ,59,0%,18,, , ,-42,86,-40,-48,-42,,, ,,-36,-30,,,,0,-44,,
,SI2,G,#REF!, ,64,0%,15,, , ,-43,54,-40,-48,-41,,, ,,-35,-31,,,,0,0,,
,IF,H,#REF!, ,53,0%,0,, , ,-42,66,-38,-43,-38,,, ,,-34,-34,,,,-38,0,,
,VVS1,H,#REF!, ,62,0%,1,, , ,-43,102,-39,-46,-40,,, ,,-30,-32,,,,0,0,,
,VVS2,H,#REF!, ,64,67%,5,,GD -FNT,152,-41,156,-36,-41,-38,,, ,,-30,-30,,,,-37,-36,,
,VS1,H,#REF!, ,60,0%,7,,D, , ,89,-33,-40,-34,,, ,,-25,-27,,,,-36.5,-34,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-32,-38,-33,,, ,,-27,-27,,,,-33,-34,,
,SI1,H,#REF!, ,56,0%,12,, , ,-42,165,-36,-50,-38.5,,, ,,-31,-28,,,,-46,0,,
,SI2,H,#REF!, ,66, ,16,, , ,-44, ,-37,-44,-39,,, ,,-34,-33,,,,0,0,,
,IF,I,#REF!, ,28, ,0,, , ,-44, ,-34,-46,-36,,, ,,-34,-30,,,,-36,-35,,
,VVS1,I,#REF!, ,41,33%,0,, ,167,-45,70,-39,-47,-41,,, ,,-31,-28,,,,0,-41,,
,VVS2,I,#REF!, ,42,0%,10,, , ,-45,52,-37,-43,-39,,, ,,-25,-27,,,,-38,-40,,
,VS1,I,#REF!, ,41,0%,6,, , ,-43,122,-35,-43,-38,,, ,,-28,-27,,,,0,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203,-43,58,-35,-45,-38,,, ,,-29,-28,,,,-40,-39,,
,SI1,I,#REF!, ,61, ,5,, , ,-42, ,-37,-45,-40,,, ,,-27,-30,,,,-41.66666667,-40,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-38,-49,-39,,, ,,-34,-33,,,,0,-40,,
,IF,J,#REF!, ,43, ,0,,GD -FNT, , , ,-34,-46,-35,,, ,,-35,-28,,,,-44,-36,,
,VVS1,J,#REF!, ,49,9%,0,,D,65,-45,51,-37,-47,-40,,, ,,-33,-29,,,,-43.5,-41,,
,VVS2,J,#REF!, ,54,0%,3,, , ,-44,80,-35,-44,-38.5,,, ,,-27,-28,,,,-40,0,,
,VS1,J,#REF!, ,49,0%,0,, , ,-41,12,-35,-42,-37,,, ,,-30,-26,,,,-40.5,0,,
,VS2,J,#REF!, ,57, ,1,, , ,-42, ,-30,-45,-34,,, ,,-26,-26,,,,-40.5,-31,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-29,-40,-34,,, ,,-28,-32,,,,-39,-37,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-31,-43,-34,,, ,,-31,-33,,,,0,-32,,
,IF,K,#REF!, ,42,0%,0,, , ,-43,45,-35,-46,-37.5,,, ,,-37,-32,,,,-39,-39,,
,VVS1,K,#REF!, ,35,0%,0,, , ,-45,70,-36,-48,-38,,, ,,-36,-29,,,,-37.5,-40,,
,VVS2,K,#REF!, ,38,10%,2,, ,95,-43,107,-28,-49,-35,,, ,,-28,-31,,,,-40.5,-30,,
,VS1,K,#REF!, ,34,0%,1,, , ,-39,95,-27,-41,-30,,, ,,-29,-30,,,,-28,0,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-25,-49,-29,,, ,,-30,-30,,,,-49,0,,
,SI1,K,#REF!, ,63, ,2,,GD -MED, , , ,-24,-44,-30,,, ,,-27,-34,,,,-37,-32,,
,SI2,K,#REF!, ,76,0%,1,,D, , ,82,-24,-45,-30,,, ,,-35,-33,,,,-30,-29,,
,IF,L,#REF!, ,44, ,0,, , , , ,-27,-43,-33,,, ,,0,-32,,,,0,-34,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-33,-46,-36,,, ,,-37,-29,,,,-35.5,-36,,
,VVS2,L,#REF!, ,51,0%,0,, , ,-47,77,-22,-46,-30,,, ,,-27,-22,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-22,-44,-28.5,,, ,,-30,-22,,,,-44,-37,,
,VS2,L,#REF!, ,76,0%,1,, , ,-44,155,-21,-42,-27,,, ,,-24,-27,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-17,-46,-25,,, ,,-22,-23,,,,-46,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-9,-40,-24.5,,, ,,-34,-30,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,-20,-32,-30,,, ,,-34,0,,,,0,-38,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,-23,-50,-33,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , ,-47,123,-22,-54,-32.5,,, ,,-37,-24,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,,GD -MED, , ,120,-19,-56,-28,,, ,,-33,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,,D, ,-44, ,-22,-55,-30,,, ,,-42,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-19,-50,-26,,, ,,-30,-29.875,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-25,-37,-30,,, ,,0,0,,,,0,0,,
0.30-0.34 X FNT,IF,D,#REF!, ,66, ,0,, , , , ,-31,-46,-37,,, ,,-31.331,-36.52941176,,,,-38,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-43,-49,-44,,, ,,-37.12125,-40.02018634,,,,-44.5,-46,,
,VVS2,D,#REF!, ,47,0%,15,, , ,-52,26,-45,-48,-46,,, ,,-40.97666667,-39.74301676,,,,-46.5,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-43,-47,-44,,, ,,-39.09833333,-35.07594937,,,,-45,-44,,
,VS2,D,#REF!, ,70,0%,22,, , ,-53,98,-43,-46,-44,,, ,,-40.15,-37.04704797,,,,-43.6,-44,,
,SI1,D,#REF!, ,53,0%,32,, , ,-53,35,-42,-45,-43,,, ,,-38.11076923,-36.68632708,,,,-43,-44,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-42,-47,-43,,, ,,-42.13035714,-41,,,,-46,0,,
,IF,E,#REF!, ,21, ,0,, , , , ,-40,-48,-44,,, ,,-26.05,-37.61111111,,,,-45.5,-45,,
,VVS1,E,#REF!, ,24,0%,0,,GD -STG, , ,18,-43,-46,-44,,, ,,-38.39444444,-36.668,,,,0,0,,
,VVS2,E,#REF!, ,53,67%,4,,D,30,-50,82,-42,-47,-43,,, ,,-37.36090909,-38.38978495,,,,-43.66666667,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-42,-45,-43,,, ,,-39.9434375,-35.875,,,,-43.33333333,-43,,
,VS2,E,#REF!, ,63,17%,19,, ,9,-52,163,-41,-46,-43,,, ,,-39.16644444,-35.83513932,,,,-42.2,-42,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-42,-48,-43,,, ,,-39.85795918,-35.60144928,,,,0,-43,,
,SI2,E,#REF!, ,54,0%,20,, , ,-54,321,-41,-48,-43,,, ,,-43.07909091,-38.33820755,,,,0,-43,,
,IF,F,#REF!, ,27, ,0,, , , , ,-37,-46,-42.5,,, ,,-30.56,-36.89516129,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,-42,-46,-43,,, ,,-35.39875,-35.86021505,,,,-43,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-40,-45,-41,,, ,,-38.85652174,-36.64726027,,,,-41,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-41,-44,-42,,, ,,-37.46125,-34.76666667,,,,-42.5,0,,
,VS2,F,#REF!, ,62,0%,21,, , ,-53,204,-41,-44,-41,,, ,,-38.87736842,-33.5420082,,,,-41,-41,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-41,-48,-42,,, ,,-39.64885714,-34.10700197,,,,0,-41,,
,SI2,F,#REF!, ,55, ,14,,GD -STG, , , ,-40,-53,-43,,, ,,-41.18038462,-36.03681818,,,,0,0,,
,IF,G,#REF!, ,43,33%,0,,D,68, ,116,-42,-48,-43,,, ,,-41.03,-38.21153846,,,,0,-44,,
,VVS1,G,#REF!, ,38,29%,0,, ,167,-50,155,-42,-49,-44,,, ,,-39.375,-37.17372881,,,,-43,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153,-49,206,-41,-46,-41,,, ,,-39,-36.05769231,,,,-41,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-39,-44,-40,,, ,,-35.88375,-34.16666667,,,,-42,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116,-49,67,-39,-46,-40.5,,, ,,-36.83548387,-32.01330798,,,,-40.6,-39,,
,SI1,G,#REF!, ,59,0%,18,, , ,-46,86,-40,-46,-41,,, ,,-38.02730769,-31.25857843,,,,-43,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-39,-48,-41,,, ,,-37.71347826,-33.08277311,,,,-42,0,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-38,-46,-40,,, ,,-40.35,-37.05769231,,,,0,-42,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,-41,-46,-43,,, ,,-37.2975,-33.75,,,,-44,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152,-50,156,-39,-46,-40,,, ,,-34.00321429,-32.68181818,,,,-40.66666667,-40,,
,VS1,H,#REF!, ,60,0%,7,, , ,-46,89,-37,-43,-39,,, ,,-28.48666667,-32.125,,,,-38.5,0,,
,VS2,H,#REF!, ,62,0%,4,, , ,-46,40,-35,-45,-37,,, ,,-32.2195,-28.40485075,,,,-40,-37,,
,SI1,H,#REF!, ,56,0%,12,, , ,-45,165,-38,-48,-40,,, ,,-35.75076923,-31.01605505,,,,0,0,,
,SI2,H,#REF!, ,66, ,16,, , ,-45, ,-37,-50,-39,,, ,,-37.5512,-34.79195011,,,,-38,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-36,-48,-37,,, ,,-31.895,-30.41666667,,,,-39,-38,,
,VVS1,I,#REF!, ,41,33%,0,, ,167,-50,70,-40,-51,-42.5,,, ,,-32.538,-28.9137931,,,,-47.5,-40,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-38,-47,-40,,, ,,-30.98,-28.68103448,,,,-40,-42,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-38,-45,-41,,, ,,-31.20944444,-27.38970588,,,,0,-40,,
,VS2,I,#REF!, ,65,17%,3,, ,203,-47,58,-36,-45,-39,,, ,,-31.43115385,-29.31690141,,,,0,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-39,-46,-41,,, ,,-34.7375,-33.63219178,,,,-44.5,0,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-39,-48,-42,,, ,,-37.26473684,-36.10888502,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,-32,-45,-36,,, ,,-31.55,-29.5,,,,-44,-37,,
,VVS1,J,#REF!, ,49,9%,0,,#REF!,65, ,51,-37,-48,-40,,, ,,-37.954,-30.43823529,,,,-45,-40,,
,VVS2,J,#REF!, ,54,0%,3,,#REF!, , ,80,-36,-47,-39,,, ,,-30.26333333,-28.28947368,,,,-47,0,,
,VS1,J,#REF!, ,49,0%,0,,#REF!, ,-45,12,-34,-44,-37,,, ,,-28.33083333,-26.72727273,,,,0,-38,,
,VS2,J,#REF!, ,57, ,1,,#REF!, , , ,-31,-41,-35,,, ,,-29.04785714,-28.26893939,,,,-40,0,,
,SI1,J,#REF!, ,63,0%,3,,#REF!, , ,68,-33,-43,-37,,, ,,-26.79777778,-34.21511628,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,,#REF!, , ,64,-35,-44,-38,,, ,,-36.37571429,-34.6635274,,,,0,0,,
,IF,K,#REF!, ,42,0%,0,,#REF!, , ,45,-28,-43,-38,,, ,,-41.88666667,-29.78125,,,,-42,-41,,
,VVS1,K,#REF!, ,35,0%,0,,#REF!, ,-48,70,-38,-45,-40,,, ,,-37.60285714,-29.42592593,,,,0,-42,,
,VVS2,K,#REF!, ,38,10%,2,,#REF!,95,-50,107,-28,-46,-33.5,,, ,,-29.52090909,-30.70833333,,,,-37,-35,,
,VS1,K,#REF!, ,34,0%,1,,#REF!, ,-43,95,-28,-46,-32,,, ,,-31.06153846,-30.28571429,,,,-29,-31,,
,VS2,K,#REF!, ,43,0%,2,,#REF!, , ,12,-30,-47,-33,,, ,,-30.314,-31.85869565,,,,-31,0,,
,SI1,K,#REF!, ,63, ,2,,#REF!, , , ,-28,-48,-33,,, ,,-25.336,-34.71341463,,,,-48,-35,,
,SI2,K,#REF!, ,76,0%,1,,#REF!, , ,82,-30,-45,-33,,, ,,-31.6575,-33.83196721,,,,0,-35,,
,IF,L,#REF!, ,44, ,0,,#REF!, , , ,-25,-39,-35,,, ,,0,-31.25,,,,-39,0,,
,VVS1,L,#REF!, ,49,0%,0,,#REF!, ,-49,43,-33,-45,-37,,, ,,-43.17,0,,,,-40.5,-35,,
,VVS2,L,#REF!, ,51,0%,0,,#REF!, ,-49,77,-23,-44,-30.5,,, ,,-36.07,0,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,,#REF!, ,-48,66,-22,-43,-31,,, ,,-27.84,-31.25,,,,-31,0,,
,VS2,L,#REF!, ,76,0%,1,,#REF!, , ,155,-15,-46,-26.5,,, ,,-28.71,-25.75,,,,-46,0,,
,SI1,L,#REF!, ,75, ,0,,#REF!, ,-44, ,-24,-40,-27.5,,, ,,-27.56666667,-27.91666667,,,,0,-33,,
,SI2,L,#REF!, ,76, ,1,,#REF!, , , ,-8,-49,-25.5,,, ,,-29.725,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,,#REF!, , , ,-27,-56,-29,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,,#REF!, ,-49,102,-25,-58,-34.5,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,,#REF!, ,-49,123,-23,-61,-36,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,,#REF!, ,-48,120,-23,-60,-31,,, ,,-27.1,0,,,,0,-46,,
,VS2,M,#REF!, ,56, , ,,#REF!, , , ,-23,-55,-30.5,,, ,,-36.39,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,,#REF!, ,-44,139,-20,-54,-30,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,,#REF!, , , ,-26,-55,-28,,, ,,-24.44,0,,,,0,0,,
0.30-0.34 X MED,IF,D,#REF!, ,66, ,0,,#REF!, , , ,-31,-51,-42.5,,, ,,-38.27,-39.25,,,,-41.88888889,0,,
,VVS1,D,#REF!, ,47,0%,2,,#REF!, ,-55,7,-44,-49,-45,,, ,,-44.949,-42.06372549,,,,-45.28571429,0,,
,VVS2,D,#REF!, ,47,0%,15,,#REF!, , ,26,-46,-50,-47,,, ,,-43.68888889,-42.20895522,,,,-46,0,,
,VS1,D,#REF!, ,52,0%,10,,#REF!, , ,122,-45,-50,-46,,, ,,-41.44333333,-39.67222222,,,,-46,-46,,
,VS2,D,#REF!, ,70,0%,22,,#REF!, ,-55,98,-44,-47,-46,,, ,,-43.08230769,-41.04273504,,,,-46,-45,,
,SI1,D,#REF!, ,53,0%,32,,#REF!, , ,35,-44,-48,-45,,, ,,-44.006,-40.55952381,,,,-46,-45,,
,SI2,D,#REF!, ,47,0%,39,,#REF!, , ,201,-43,-49,-44,,, ,,-42.465,-45.1375,,,,0,-43,,
,IF,E,#REF!, ,21, ,0,,#REF!, , , ,-13,-48,-44,,, ,,0,-40.47058824,,,,0,0,,
,VVS1,E,#REF!, ,24,0%,0,,#REF!, , ,18,-38,-48,-43,,, ,,-41.676,-38.83888889,,,,-43,0,,
,VVS2,E,#REF!, ,53,67%,4,,#REF!,30,-56,82,-30,-47,-43,,, ,,-44.195,-40.25,,,,-43,0,,
,VS1,E,#REF!, ,66,33%,8,,#REF!,9, ,169,-42,-48,-44,,, ,,-40.7625,-39.25,,,,0,-44,,
,VS2,E,#REF!, ,63,17%,19,,#REF!,9, ,163,-41,-50,-44,,, ,,-41.7125,-38.87058824,,,,-46,-44,,
,SI1,E,#REF!, ,58,0%,38,,#REF!, , ,82,-43,-52,-45,,, ,,-43.16333333,-40.44803371,,,,-46,-46,,
,SI2,E,#REF!, ,54,0%,20,,#REF!, , ,321,-41,-47,-43,,, ,,-45.40571429,-41.59615385,,,,0,-43,,
,IF,F,#REF!, ,27, ,0,,#REF!, , , ,-18,-49,-42,,, ,,0,-39.09375,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,,#REF!, , , ,-39,-48,-43,,, ,,-41.85,-38.36403509,,,,-42,0,,
,VVS2,F,#REF!, ,49,100%,8,,#REF!,26, , ,-31,-47,-41,,, ,,-41.06,-38.32692308,,,,-43,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-41,-45,-42,,, ,,-41,-38.703125,,,,-41.5,-43,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-39,-46,-41,,, ,,-41.37166667,-36.6622807,,,,-41.4,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-40,-49,-42.5,,, ,,-41.83933333,-37.155,,,,-49,-41,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-41,-47,-42,,, ,,-43.798,-38.87666667,,,,0,-42,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,-32,-47,-44,,, ,,0,-40.75735294,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,-42,-48,-44,,, ,,-43.47,-39.82083333,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,-37,-46,-42,,, ,,-40,-38.74,,,,-42,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-39,-47,-42,,, ,,-39.588,-37.3125,,,,0,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-39,-46,-40.5,,, ,,-40.53142857,-36.082,,,,-39.5,0,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-40,-45,-41,,, ,,-44.25333333,-35.22125436,,,,0,-42,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-38,-46,-40,,, ,,-43.95833333,-35.86352657,,,,0,-45,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-35,-47,-42,,, ,,-44.13,-39.78846154,,,,-44,-43,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,-41,-47,-43,,, ,,-42.0925,-39.5625,,,,0,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-35,-50,-39.5,,, ,,-35.91333333,-38.29166667,,,,-39,-37,,
