Status 3, Ref,STOCK_ID,ONLINE,OMS,STATUS,BOX,CERT_NO,CERT,SHAPE,PCS,WEIGHT,COLOR,CLARITY,RAP,RAP_VALUE,C_DISC,C_PRICE,C_VALUE,DISC,PRICE,VALUE,CUT,POL,SY,FLUO,FLUO_COLOR,FANCY_COLOR,FANCY_INTENSITY,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_FROM,GIRDLE_TO,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,INSCRIPTION,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,LT,FMTS,C1T,REMARKS,OMS_REMARK,SALES_REMARK,DEMAND_STATUS,ASSORT_DATE,FACTORY_LOT_NO,MUM_SUBLOT_NO,KP_CERT_NO,AUDITABILITY_LEVEL,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE,EXTRA1,EXTRA2,EXTRA3,EXTRA4,EXTRA5,BILL_NO,BILL_DATE,CONTROL_NO, Inv_Date, Inv_Party, Inv_By , Inv_Term,Inv_Dis,Inv_Pr,Inv_Val, Cbd, Cbr, Cbv, Tab_Inc,Status2,SIZE GR,PU GR,CO GR,CUT2,PO 2 ,SY 2,CUT FL,tentative rap,PRL Size,PRL Make,Code1,Code2,PRL DISC,Diff%,Days range,SZ 2,Cod Value,Cod pr,COD RAP,CO GR 2,MONTH,CL FOR ROUGH,mv,mv con,Doss 1ct,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_FROM,GIRDLE_TO,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,INSCRIPTION,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,LT,FMTS,C1T,REMARKS,OMS_REMARK,SALES_REMARK,DEMAND_STATUS,ASSORT_DATE,FACTORY_LOT_NO,MUM_SUBLOT_NO,KP_CERT_NO,AUDITABILITY_LEVEL,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE,EXTRA1,EXTRA2,EXTRA3,EXTRA4,EXTRA5,BILL_NO,BILL_DATE,CONTROL_NO, Inv_Date, Inv_Party, Inv_By , Inv_Term,Inv_Dis,Inv_Pr,Inv_Val, Cbd, Cbr, Cbv, Tab_Inc,Status2,SIZE GR,PU GR,CO GR,CUT2,PO 2 ,SY 2,CUT FL,tentative rap,PRL Size,PRL Make,Code1,Code2,PRL DISC,Diff%,Days range,SZ 2,Cod Value,Cod pr,COD RAP,CO GR 2,MONTH,CL FOR ROUGH,mv,mv con,Doss 1ct
Demand Sale,17,PDO1123082,,,A,Z_SOLD_2022,6432356067,GIA,RO,1,0.3,E,VVS2,2700,810,-37,1701,510.3,,,,EX,EX,EX,NON,NN,NA,NA,NA,62.4,56,4.24,4.28,2.66,1.009,NN,NN,NN,NN,NN,"Pinpoint, Cloud, Surface Graining",-,35.5,15.5,40.6,42.5,4,MED,STK,Faceted,50,80,NONE,GIA 6432356067 - FM 68131885,Y,Y,N,DD,44691,17,E,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,MBMGFM - FM109936-22,,,DEMAND,44709,KM101FMDBCOOTQ22,B22F220FK,BW022848,DOC & SYSTEM FLOW LEVEL,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,,,,,1.01E+11,44692,GIA101154921524 - FM30002502468,44722,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30,548.92,1829.733333,-32.23209877,543.56,1811.866667,-32.89382716,,Demand Sale,0.30-0.34,IF-VVS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVVS2,NONE,CHK,#VALUE!,<30,0.30-0.39,510.3,1811.866667,-37,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,NA,62.4,58,4.28,4.32,2.68,1.009,B1,NN,NN,NN,WT1,Pinpoint,-,36,15.5,40.8,43,4,MED,STK,Faceted,50,80,PTD,GIA 6435404698,Y,Y,N,DD,44705,21,F,VVS1,NN,NN,NN,NN,NN,NN,SGR1,EX1,N,N,N,N,N,GIA,,,NON-DEMAND,44705,KM114TQ22,B22XN258DEK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,1.01E+11,44697,1.01E+11,44722,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30,544.13,1813.766667,-35.22261905,538.82,1796.066667,-35.8547619,,1811.866667,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1796.066667,CHK,#N/A,JUNE'22,#N/A, ,1811.866667,Doss
Demand Sale,21,PDO1124244,,,A,Z_SOLD_2022,6435404698,GIA,RO,1,0.3,F,VVS1,2800,840,-40,1680,504,-30,1960,588,EX,EX,EX,NON,NN,NA,NA,NA,62.4,58,4.28,4.32,2.68,1.009,B1,NN,NN,NN,WT1,Pinpoint,-,36,15.5,40.8,43,4,MED,STK,Faceted,50,80,PTD,GIA 6435404698,Y,Y,N,DD,44705,21,F,VVS1,NN,NN,NN,NN,NN,NN,SGR1,EX1,N,N,N,N,N,GIA,,,NON-DEMAND,44705,KM114TQ22,B22XN258DEK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,1.01E+11,44697,1.01E+11,44722,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30,544.13,1813.766667,-35.22261905,538.82,1796.066667,-35.8547619,,Demand Sale,0.30-0.34,IF-VVS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVVS1,NONF,CHK,#VALUE!,<30,0.30-0.39,504,1796.066667,-40,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,NN,60.4,58.9,4.33,4.37,2.63,1.009,NN,NN,NN,NN,NN,NN,NN,33.4,13.5,40.9,43.3,3.6,1.1,3.9,FACETED,52,75,PTD,68926196,Y,Y,N,FM,44700,26,E,VS1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,DEGMFM,,,DEMAND,44700,KM87FMDBCOOTQ22,B22M220FK,BW022848,DOC & SYSTEM FLOW LEVEL,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,30002502202,,,,,,,30002502202,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,60,561.6,1872,-25.12,550.74,1835.8,-26.568,,1796.066667,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1835.8,CHK,#N/A,JUNE'22,#N/A, ,1796.066667,Doss
Demand Sale,26,PDO1124336,,,A,Z_SOLD_2022,68926196,FM,RO,1,0.3,E,VS1,2500,750,-30,1750,525,,,,EX,EX,EX,NON,NN,NN,NN,NN,60.4,58.9,4.33,4.37,2.63,1.009,NN,NN,NN,NN,NN,NN,NN,33.4,13.5,40.9,43.3,3.6,1.1,3.9,FACETED,52,75,PTD,68926196,Y,Y,N,FM,44700,26,E,VS1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,DEGMFM,,,DEMAND,44700,KM87FMDBCOOTQ22,B22M220FK,BW022848,DOC & SYSTEM FLOW LEVEL,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,30002502202,,,,,,,30002502202,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,60,561.6,1872,-25.12,550.74,1835.8,-26.568,,Demand Sale,0.30-0.34,VS1-VS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVS1,NONE,CHK,#VALUE!,<30,0.30-0.39,525,1835.8,-30,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,NA,63.6,59,4.17,4.21,2.67,1.01,NN,M1,NN,NN,WT2,Cloud,-,37.5,15.5,40.8,43,5.5,STK,THK,Faceted,55,80,PTD,GIA 6432404682,N,N,Y,DD,44705,16,E,SI1,NN,N1,NN,NN,NN,NN,NN,EX1,N,N,N,Y,N,GIA,,,NON-DEMAND,44705,KM87FMDBCOOTQ22,B22M220FK,BW022848,DOC & SYSTEM FLOW LEVEL,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,,,,,1.01E+11,44697,1.01E+11,44720,Sheel Gems,Sheel Gems,75,249.28,830.9333333,-62.23030303,243.28,810.9333333,-63.13939394,,1835.8,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,810.9333333,CHK,#N/A,JUNE'22,#N/A, ,1835.8,Doss
Sale,16,PDO1124364,,,A,Z_SOLD_2022,6432404682,GIA,RO,1,0.3,E,SI1,2200,660,-63,814,244.2,-53,1034,310.2,VG,EX,EX,NON,NN,NA,NA,NA,63.6,59,4.17,4.21,2.67,1.01,NN,M1,NN,NN,WT2,Cloud,-,37.5,15.5,40.8,43,5.5,STK,THK,Faceted,55,80,PTD,GIA 6432404682,N,N,Y,DD,44705,16,E,SI1,NN,N1,NN,NN,NN,NN,NN,EX1,N,N,N,Y,N,GIA,,,NON-DEMAND,44705,KM87FMDBCOOTQ22,B22M220FK,BW022848,DOC & SYSTEM FLOW LEVEL,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,,,,,,1.01E+11,44697,1.01E+11,44720,Sheel Gems,Sheel Gems,75,249.28,830.9333333,-62.23030303,243.28,810.9333333,-63.13939394,,Sale,0.30-0.34,SI1-SI2,D-F,VG,X,X,VGXXNON,,0.30-0.34,,0.30-0.34ROSI1,NONE,CHK,#VALUE!,<30,0.30-0.39,244.2,810.9333333,-63,#N/A,JUNE'22,#N/A,new stock,Sale,Doss,NA,64.8,57,4.19,4.21,2.72,1.005,NN,M1,NN,NN,WT1,"Cloud, Indented Natural",-,36.5,16,41.2,43.5,5,STK,THK,Faceted,50,80,PTD,GIA 7438404591,Y,N,N,DD,44705,16,E,VS2,NN,NN,INP,NN,NN,NN,NN,EX1,N,N,N,N,N,GIA,,,NON-DEMAND,44705,KM99TQ22,B22395MBDEFK,AE 129195,DECLARATIVE LEVEL,SOUTH AFRICA,UNKNOWN,UNKNOWN,EKAPA,SOUTH AFRICA,KIMBERLEY,,,,,,1.01E+11,44694,1.01E+11,44720,Sheel Gems,Sheel Gems,75,279.14,930.4666667,-61.23055556,272.42,908.0666667,-62.16388889,,810.9333333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,908.0666667,CHK,#N/A,JUNE'22,#N/A, ,810.9333333,Doss
Sale,16,PDO1124373,,,A,Z_SOLD_2022,7438404591,GIA,RO,1,0.3,E,VS2,2400,720,-62,912,273.6,-52,1152,345.6,VG,EX,EX,FNT,NN,NA,NA,NA,64.8,57,4.19,4.21,2.72,1.005,NN,M1,NN,NN,WT1,"Cloud, Indented Natural",-,36.5,16,41.2,43.5,5,STK,THK,Faceted,50,80,PTD,GIA 7438404591,Y,N,N,DD,44705,16,E,VS2,NN,NN,INP,NN,NN,NN,NN,EX1,N,N,N,N,N,GIA,,,NON-DEMAND,44705,KM99TQ22,B22395MBDEFK,AE 129195,DECLARATIVE LEVEL,SOUTH AFRICA,UNKNOWN,UNKNOWN,EKAPA,SOUTH AFRICA,KIMBERLEY,,,,,,1.01E+11,44694,1.01E+11,44720,Sheel Gems,Sheel Gems,75,279.14,930.4666667,-61.23055556,272.42,908.0666667,-62.16388889,,Sale,0.30-0.34,VS1-VS2,D-F,VG,X,X,VGXXFNT,,0.30-0.34,,0.30-0.34ROVS2,FNTE,CHK,#VALUE!,<30,0.30-0.39,273.6,908.0666667,-62,#N/A,JUNE'22,#N/A,new stock,Sale,Doss,,62.6,55.8,4.21,4.24,2.65,1.007,NN,NN,NN,NN,NN,NN,NN,34.8,15.6,40.9,42.6,4.4,3.1,5,FACETED,26,,PTD,CTS100 9526559,Y,Y,N,IIDGR,44692,18,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM137FMTQ22,B22393GEMFK,AE 130105,DECLARATIVE LEVEL,NAMIBIA,NAMDIA,UNKNOWN,NAMDIA,NAMIBIA,UNKNOWN,30002450011,,,,,,,30002665179,44720,Diarough N. V.,Diarough Sourcing S. A.,90,503.7,1679,-27,489.22,1630.733333,-29.09855072,,908.0666667,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1630.733333,CHK,#N/A,JUNE'22,#N/A, ,908.0666667,Doss
Demand Sale,18,PDO1124443,,,A,Z_SOLD_2022,CTS100 9526559,IIDGR,RO,1,0.3,H,VVS2,2300,690,-27,1679,503.7,,,,EX,EX,EX,NON,NN,,,,62.6,55.8,4.21,4.24,2.65,1.007,NN,NN,NN,NN,NN,NN,NN,34.8,15.6,40.9,42.6,4.4,3.1,5,FACETED,26,,PTD,CTS100 9526559,Y,Y,N,IIDGR,44692,18,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM137FMTQ22,B22393GEMFK,AE 130105,DECLARATIVE LEVEL,NAMIBIA,NAMDIA,UNKNOWN,NAMDIA,NAMIBIA,UNKNOWN,30002450011,,,,,,,30002665179,44720,Diarough N. V.,Diarough Sourcing S. A.,90,503.7,1679,-27,489.22,1630.733333,-29.09855072,,Demand Sale,0.30-0.34,IF-VVS2,G-I,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVVS2,NONH,CHK,#VALUE!,<30,0.30-0.39,503.7,1630.733333,-27,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,,62.5,55.9,4.22,4.26,2.65,1.009,NN,NN,NN,NN,NN,NN,NN,35.1,15.8,40.8,42.5,4.2,2.6,4.5,FACETED,27,,PTD,CTS100 9526562,Y,Y,N,IIDGR,44692,18,F,VS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002450033,,,,,,,30002665180,44720,Diarough N. V.,Diarough Sourcing S. A.,90,481.8,1606,-30.17391304,467.95,1559.833333,-32.18115942,,1630.733333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1559.833333,CHK,#N/A,JUNE'22,#N/A, ,1630.733333,Doss
Demand Sale,18,PDO1124444,,,A,Z_SOLD_2022,CTS100 9526562,IIDGR,RO,1,0.3,F,VS2,2300,690,-30.17,1606,481.8,,,,EX,EX,EX,NON,NN,,,,62.5,55.9,4.22,4.26,2.65,1.009,NN,NN,NN,NN,NN,NN,NN,35.1,15.8,40.8,42.5,4.2,2.6,4.5,FACETED,27,,PTD,CTS100 9526562,Y,Y,N,IIDGR,44692,18,F,VS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002450033,,,,,,,30002665180,44720,Diarough N. V.,Diarough Sourcing S. A.,90,481.8,1606,-30.17391304,467.95,1559.833333,-32.18115942,,Demand Sale,0.30-0.34,VS1-VS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVS2,NONF,CHK,#VALUE!,<30,0.30-0.39,481.8,1559.833333,-30.17,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,,61.7,56.3,4.26,4.28,2.63,1.005,NN,NN,NN,NN,NN,NN,NN,34.5,15.5,41.1,42.7,3.5,2.3,4,FACETED,25,,PTD,CTS100 9526560,Y,Y,N,IIDGR,44692,18,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM101FMDBCOOTQ22,B22F220FK,BW022848,DOC & SYSTEM FLOW LEVEL,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,30002450015,,,,,,,30002665181,44720,Diarough N. V.,Diarough Sourcing S. A.,90,503.7,1679,-27,489.22,1630.733333,-29.09855072,,1559.833333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1630.733333,CHK,#N/A,JUNE'22,#N/A, ,1559.833333,Doss
Demand Sale,18,PDO1124445,,,A,Z_SOLD_2022,CTS100 9526560,IIDGR,RO,1,0.3,H,VVS2,2300,690,-27,1679,503.7,,,,EX,EX,EX,NON,NN,,,,61.7,56.3,4.26,4.28,2.63,1.005,NN,NN,NN,NN,NN,NN,NN,34.5,15.5,41.1,42.7,3.5,2.3,4,FACETED,25,,PTD,CTS100 9526560,Y,Y,N,IIDGR,44692,18,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM101FMDBCOOTQ22,B22F220FK,BW022848,DOC & SYSTEM FLOW LEVEL,AGGREGATE,DTC-DBGSS,UNKNOWN,DTC,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,30002450015,,,,,,,30002665181,44720,Diarough N. V.,Diarough Sourcing S. A.,90,503.7,1679,-27,489.22,1630.733333,-29.09855072,,Demand Sale,0.30-0.34,IF-VVS2,G-I,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVVS2,NONH,CHK,#VALUE!,<30,0.30-0.39,503.7,1630.733333,-27,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,,62.6,55.2,4.22,4.24,2.65,1.005,NN,NN,NN,NN,NN,NN,NN,34.6,16.1,40.9,42.3,4.2,2.8,4.7,FACETED,26,,PTD,CTS100 9526556,Y,Y,N,IIDGR,44692,18,E,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002450019,,,,,,,30002665175,44720,Diarough N. V.,Diarough Sourcing S. A.,90,525.6,1752,-35.11111111,510.49,1701.633333,-36.97654321,,1630.733333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1701.633333,CHK,#N/A,JUNE'22,#N/A, ,1630.733333,Doss
Demand Sale,18,PDO1124447,,,A,Z_SOLD_2022,CTS100 9526556,IIDGR,RO,1,0.3,E,VVS2,2700,810,-35.11,1752,525.6,,,,EX,EX,EX,NON,NN,,,,62.6,55.2,4.22,4.24,2.65,1.005,NN,NN,NN,NN,NN,NN,NN,34.6,16.1,40.9,42.3,4.2,2.8,4.7,FACETED,26,,PTD,CTS100 9526556,Y,Y,N,IIDGR,44692,18,E,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002450019,,,,,,,30002665175,44720,Diarough N. V.,Diarough Sourcing S. A.,90,525.6,1752,-35.11111111,510.49,1701.633333,-36.97654321,,Demand Sale,0.30-0.34,IF-VVS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVVS2,NONE,CHK,#VALUE!,<30,0.30-0.39,525.6,1701.633333,-35.11,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,,61.9,56.1,4.24,4.26,2.63,1.005,NN,NN,NN,NN,NN,NN,NN,34.5,15.5,41,42.6,3.8,2.4,4.2,FACETED,25,,PTD,CTS100 9526555,Y,Y,N,IIDGR,44692,18,E,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002450039,,,,,,,30002665176,44720,Diarough N. V.,Diarough Sourcing S. A.,90,525.6,1752,-35.11111111,510.49,1701.633333,-36.97654321,,1701.633333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1701.633333,CHK,#N/A,JUNE'22,#N/A, ,1701.633333,Doss
Demand Sale,18,PDO1124448,,,A,Z_SOLD_2022,CTS100 9526555,IIDGR,RO,1,0.3,E,VVS2,2700,810,-35.11,1752,525.6,,,,EX,EX,EX,NON,NN,,,,61.9,56.1,4.24,4.26,2.63,1.005,NN,NN,NN,NN,NN,NN,NN,34.5,15.5,41,42.6,3.8,2.4,4.2,FACETED,25,,PTD,CTS100 9526555,Y,Y,N,IIDGR,44692,18,E,VVS2,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002450039,,,,,,,30002665176,44720,Diarough N. V.,Diarough Sourcing S. A.,90,525.6,1752,-35.11111111,510.49,1701.633333,-36.97654321,,Demand Sale,0.30-0.34,IF-VVS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVVS2,NONE,CHK,#VALUE!,<30,0.30-0.39,525.6,1701.633333,-35.11,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,,62.2,58.7,4.21,4.23,2.63,1.005,NN,NN,NN,NN,NN,NN,NN,35.4,15.1,41,42.8,4.3,3.3,5,FACETED,26,,PTD,CTS100 9526565,Y,Y,N,IIDGR,44699,18,H,VVS1,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002453453,,,,,,,30002665257,44720,Diarough N. V.,Diarough Sourcing S. A.,90,525.6,1752,-27,510.49,1701.633333,-29.09861111,,1701.633333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1701.633333,CHK,#N/A,JUNE'22,#N/A, ,1701.633333,Doss
Demand Sale,18,PDO1124834,,,A,Z_SOLD_2022,CTS100 9526565,IIDGR,RO,1,0.3,H,VVS1,2400,720,-27,1752,525.6,,,,EX,EX,EX,NON,NN,,,,62.2,58.7,4.21,4.23,2.63,1.005,NN,NN,NN,NN,NN,NN,NN,35.4,15.1,41,42.8,4.3,3.3,5,FACETED,26,,PTD,CTS100 9526565,Y,Y,N,IIDGR,44699,18,H,VVS1,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002453453,,,,,,,30002665257,44720,Diarough N. V.,Diarough Sourcing S. A.,90,525.6,1752,-27,510.49,1701.633333,-29.09861111,,Demand Sale,0.30-0.34,IF-VVS2,G-I,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVVS1,NONH,CHK,#VALUE!,<30,0.30-0.39,525.6,1701.633333,-27,#N/A,JUNE'22,#N/A,new stock,Demand Sale,Doss,,62.9,55.7,4.22,4.24,2.66,1.005,NN,NN,NN,NN,NN,NN,NN,35.1,16.5,40.9,42.8,3.6,2.6,4.7,FACETED,26,,PTD,CTS100 9526564,Y,Y,N,IIDGR,44699,18,F,VS1,NN,NN,NN,NN,NN,NN,NN,NA,N,N,N,N,N,PB0,,,DEMAND,44703,KM116TQ22,B22XA2131FK,AE 129735,NOT AUDITABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,30002453463,,,,,,,30002665256,44720,Diarough N. V.,Diarough Sourcing S. A.,90,503.7,1679,-30.04166667,489.22,1630.733333,-32.05277778,,1701.633333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<30,<0.29,<30,1630.733333,CHK,#N/A,JUNE'22,#N/A, ,1701.633333,Doss
